TYPE__C,TYPE_VALUE__C,ID,territory
Postal_Codes__c,72250,a1u7x000003J2hEAAS,EMEA_ESMB_FRCEN_FR_1_03_GRB_07A
Postal_Codes__c,85033,a1u7x000003J2pnAAC,EMEA_ESMB_SOUTH_IT_01_GRB_05A
Postal_Codes__c,67380,a1u7x000003J4dbAAC,EMEA_ESMB_FRCEN_FR_1_01_GRB_TempCoverage_06A
Postal_Codes__c,45211,a1u7x000003J68PAAS,EMEA_ESMB_SOUTH_IB_03_ES_RET_TTH_GRB_3A
Postal_Codes__c,25089,a1u7x000003J37HAAS,EMEA_ESMB_SOUTH_IT_01_SB_TempCoverage_02A
Postal_Codes__c,NR27,a1u7x000003J2PpAAK,EMEA_ESMB_UKI_UK_GRB_FINS_07
Postal_Codes__c,SK2,a1u7x000003J4BGAA0,EMEA_ESMB_UKI_UK_GRB1_02_01
Postal_Codes__c,28231,a1u7x000003J46hAAC,EMEA_ESMB_SOUTH_IB_02_ES_SB_3A
Postal_Codes__c,57655,a1u7x000003J4dbAAC,EMEA_ESMB_FRCEN_FR_1_01_GRB_TempCoverage_06A
Postal_Codes__c,23320,a1u7x000003J7fbAAC,EMEA_ESMB_FRCEN_FR_1_03_SB_TempCoverage_04A
Postal_Codes__c,76330,a1u7x000003J3KSAA0,EMEA_ESMB_FRCEN_FR_1_04_SB_04A
Postal_Codes__c,SW95,a1u7x000003J2PpAAK,EMEA_ESMB_UKI_UK_GRB_FINS_07
Postal_Codes__c,64530,a1u7x000003J6V3AAK,EMEA_ESMB_FRCEN_FR_1_02_GRB_TempCoverage_08A
Postal_Codes__c,28680,a1u7x000003J68PAAS,EMEA_ESMB_SOUTH_IB_03_ES_RET_TTH_GRB_3A
Postal_Codes__c,57000,a1u7x000003J8LGAA0,EMEA_ESMB_FRCEN_FR_1_02_SB_04A
Postal_Codes__c,51370,a1u7x000003J6V4AAK,EMEA_ESMB_FRCEN_FR_1_02_GRB_06A
Postal_Codes__c,88340,a1u7x000003J4KsAAK,EMEA_ESMB_FRCEN_FR_2_06_SB_04A
Postal_Codes__c,H53,a1u7x000003J8JZAA0,EMEA_ESMB_UKI_IRELAND_GRB_03
Postal_Codes__c,311,a1u7x000003J871AAC,EMEA_ESMB_FRCEN_CEN_CHAT_01_CH_GRB_RCG_07A
Postal_Codes__c,62440,a1u7x000003J3FBAA0,EMEA_ESMB_FRCEN_FR_2_05_GRB_07A
Postal_Codes__c,72270,a1u7x000003J2M9AAK,EMEA_FRANCE_MMR_CATCHALL_GB_RG
Postal_Codes__c,44980,a1u7x000003J7fbAAC,EMEA_ESMB_FRCEN_FR_1_03_SB_TempCoverage_04A
Postal_Codes__c,AL5,a1u7x000003J2axAAC,EMEA_ESMB_UKI_UK_SB_FINS_07
Postal_Codes__c,24580,a1u7x000003J2kNAAS,EMEA_ESMB_FRCEN_FR_1_03_GRB_05A
Postal_Codes__c,90360,a1u7x000003IzrOAAS,EMEA_ESMB_FRCEN_FR_1_04_GRB_06A
Postal_Codes__c,667,a1u7x000003IymgAAC,EMEA_ESMB_NORTH_NOR_NO_GRB_02B
Postal_Codes__c,14400,a1u7x000003J1raAAC,EMEA_ESMB_SOUTH_IB_03_ES_RET_TTH_SB_1B
